最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
3371.96,-1.12,-38.22,260747425,339317805056.0,1.48,0.7,-,0.97,-0.03,000001,上证指数,3422.54,3371.92,3416.08,3410.18,44009356808558,36498679218894,-0.03,-,1.67,10.55,-
18.71,0.0,0.0,677221,1277484448.0,1.98,0.35,12.16,0.83,0.05,000001,平安银行,19.05,18.68,18.79,18.71,363084729485,363081632643,0.11,1.26,21.26,15.28,19910403
3534.44,-1.12,-40.08,260509773,338869399552.0,1.49,0.71,-,0.97,-0.03,000002,Ａ股指数,3587.49,3534.39,3580.71,3574.52,40933648217312,35593632202176,-0.03,-,1.69,10.59,-
28.66,-1.78,-0.52,637035,1846463888.0,2.67,0.66,12.57,0.92,-0.1,000002,万  科Ａ,29.44,28.66,29.4,29.18,332964204881,278412266037,-0.14,1.64,1.27,-8.02,19910129
-,-,-,-,-,-,-,-,-,-,000003,PT金田A,-,-,-,2.71,-,-,-,-,-,-,19910703
238.5,-0.64,-1.54,187318,94947136.0,1.31,0.12,-,0.89,0.23,000003,Ｂ股指数,241.04,237.89,240.11,240.04,13425492110,10198753422,0.21,-,-5.36,-7.13,-
2915.46,-1.19,-35.25,159512906,227296124928.0,1.54,-,-,1.0,-0.03,000004,工业指数,2960.97,2915.46,2955.0,2950.71,-,-,-0.02,-,3.25,21.61,-
24.4,-3.63,-0.92,43175,106122219.0,4.74,5.14,52.58,1.21,-0.16,000004,国华网安,25.35,24.15,25.35,25.32,4027284050,2047615890,-0.12,2.78,1.84,8.01,19910114
2.52,-1.56,-0.04,103542,26310889.0,1.95,0.98,-72.55,1.2,0.0,000005,世纪星源,2.57,2.52,2.56,2.56,2667512842,2666024530,-0.4,1.64,-16.0,-18.45,19901210
3221.94,-1.87,-61.56,24790984,35996167680.0,2.34,-,-,0.85,-0.03,000005,商业指数,3296.03,3219.24,3288.89,3283.5,-,-,0.04,-,-4.0,11.75,-
5.52,-2.13,-0.12,67644,37847766.0,2.66,0.5,10.95,0.66,0.0,000006,深振业Ａ,5.66,5.51,5.64,5.64,7451972654,7442660005,0.18,1.06,-8.76,6.56,19920427
6517.14,-0.9,-59.05,4181726,3037132896.0,1.32,-,-,0.78,0.06,000006,地产指数,6595.78,6509.05,6585.22,6576.19,-,-,-0.03,-,-2.88,-7.22,-
8.12,-1.22,-0.1,67531,54429855.0,3.65,2.19,-46.35,0.82,0.12,000007,全新好,8.25,7.95,8.21,8.22,2813158117,2508658117,0.0,17.17,-12.41,-14.53,19920413
4366.08,-1.18,-52.13,17685545,10742632960.0,1.42,-,-,0.94,-0.06,000007,公用指数,4428.47,4365.8,4422.55,4418.21,-,-,-0.05,-,-3.76,-11.66,-
3003.52,-0.81,-24.44,54576261,62245750016.0,1.58,-,-,0.96,-0.04,000008,综合指数,3050.21,3002.42,3035.28,3027.96,-,-,-0.05,-,1.98,1.46,-
2.69,-1.47,-0.04,152846,41443025.0,2.2,0.57,-23.21,0.67,0.0,000008,神州高铁,2.74,2.68,2.73,2.73,7480339481,7169340314,0.0,1.04,-12.66,-25.69,19920507
7.08,-2.34,-0.17,322898,231003313.0,3.17,1.27,26.26,0.95,0.0,000009,中国宝安,7.3,7.07,7.26,7.25,18260834872,18067437755,0.0,2.7,-2.07,14.75,19910625
5737.18,-1.45,-84.47,55823150,73069641728.0,1.67,0.97,-,1.04,-0.03,000009,上证380,5834.54,5737.18,5827.86,5821.65,6755777826816,5884110672256,-0.03,-,-1.76,19.11,-
4.02,-0.99,-0.04,32436,13089374.0,1.72,0.62,94.99,0.84,0.25,000010,美丽生态,4.08,4.01,4.07,4.06,3295815946,2099129422,0.0,6.92,-8.64,18.24,19951027
10179.07,-1.02,-105.19,80327255,133102870528.0,1.57,0.36,-,0.87,-0.03,000010,上证180,10338.44,10177.33,10312.31,10284.26,27099447767040,24395521918464,-0.02,-,4.45,14.66,-
12.8,-2.29,-0.3,61610,80064201.0,3.74,1.17,29.74,0.9,0.08,000011,深物业A,13.25,12.76,13.06,13.1,7628532378,6738886950,0.08,2.44,-25.15,41.44,19920330
7273.09,-1.05,-76.85,130954432,53047227904.0,1.32,-,-,1.03,0.02,000011,基金指数,7367.13,7269.91,7355.1,7349.94,-,-,0.04,-,1.79,13.2,-
6.65,-2.21,-0.15,478332,321642688.0,3.09,2.44,21.07,0.89,-0.15,000012,南  玻Ａ,6.85,6.64,6.77,6.8,20420102512,13014444751,-0.15,2.01,20.25,34.62,19920228
183.31,0.05,0.09,136476,127318679.0,0.04,-,-,0.37,0.01,000012,国债指数,183.31,183.23,183.23,183.22,-,-,0.01,-,0.36,3.41,-
-,-,-,-,-,-,-,-,-,-,000013,*ST石化A,-,-,-,2.47,-,-,-,-,-,-,19920506
248.9,0.0,0.0,2516680,2384964992.0,0.02,-,-,3.46,0.0,000013,企债指数,248.93,248.89,248.93,248.9,-,-,0.0,-,0.66,4.26,-
8.87,-2.85,-0.26,21384,19218396.0,3.29,1.06,97.01,1.16,0.23,000014,沙河股份,9.14,8.84,9.13,9.13,1789125009,1789125009,0.0,1.98,-16.0,-4.62,19920602
-,-,-,-,-,-,-,-,-,-,000015,PT中浩A,-,-,-,6.85,-,-,-,-,-,-,19920625
2663.57,-1.39,-37.67,20179073,17768870400.0,1.54,-,-,0.87,-0.08,000015,红利指数,2704.93,2663.41,2703.7,2701.24,-,-,-0.07,-,1.63,-3.19,-
3468.53,-0.87,-30.53,30654727,61382484992.0,1.43,0.2,-,0.89,-0.03,000016,上证50,3517.92,3468.0,3511.76,3499.06,17842875412480,15943909216256,-0.02,-,5.43,13.23,-
6.83,-3.8,-0.27,340979,237102172.0,3.8,2.14,20.04,0.53,0.0,000016,深康佳Ａ,7.08,6.81,7.07,7.1,16446267137,10904602469,-0.15,1.93,-3.94,58.1,19920327
