最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
10.17,-0.68,-0.07,473365,479183312.0,1.95,0.16,5.0,0.42,0.3,600000,浦发银行,10.25,10.05,10.24,10.24,298511204072,298511204072,0.3,0.59,0.49,-13.59,19991110
-,-,-,-,-,-,-,-,-,-,600001,邯郸钢铁,-,-,-,5.29,-,-,-,-,-,-,19980122
-,-,-,-,-,-,-,-,-,-,600002,齐鲁石化,-,-,-,10.09,-,-,-,-,-,-,19980408
-,-,-,-,-,-,-,-,-,-,600003,ST东北高,-,-,-,3.87,-,-,-,-,-,-,19990810
14.99,-0.79,-0.12,88799,133815978.0,2.18,0.43,-88.87,0.53,0.0,600004,白云机场,15.28,14.95,15.15,15.11,35477107062,31019114505,-0.07,1.85,1.56,-13.4,20030428
-,-,-,-,-,-,-,-,-,-,600005,武钢股份,-,-,-,3.71,-,-,-,-,-,-,19990803
6.35,0.16,0.01,775937,501942928.0,8.2,3.88,19.43,1.31,0.0,600006,东风汽车,6.66,6.14,6.25,6.34,12700000000,12700000000,-0.16,1.64,35.68,40.8,19990727
12.92,-0.77,-0.1,15298,19789398.0,1.31,0.15,15.94,0.83,-0.08,600007,中国国贸,13.05,12.88,12.99,13.02,13014090339,13014090339,-0.08,1.67,-11.69,-24.53,19990312
3.04,-0.33,-0.01,323148,98099591.0,0.98,0.44,18.03,0.65,0.33,600008,首创股份,3.05,3.02,3.05,3.05,22315395658,22315395658,0.33,1.45,-4.1,1.33,20000427
81.06,1.07,0.86,80265,649338784.0,2.26,0.73,-158.86,0.74,0.09,600009,上海机场,81.59,79.78,80.75,80.2,156199251795,88637196741,-0.02,5.25,6.78,3.98,19980218
1.19,-0.83,-0.01,1793607,213816043.0,1.67,0.57,243.36,0.6,0.0,600010,包钢股份,1.2,1.18,1.2,1.2,54246188851,37695881789,-0.83,1.03,2.59,-9.85,20010309
4.95,-1.0,-0.05,282728,139522938.0,1.8,0.26,6.38,0.67,0.2,600011,华能国际,5.0,4.91,5.0,5.0,77705562127,54438664099,0.2,0.98,-13.16,-9.17,20011206
6.4,-0.31,-0.02,69055,44183347.0,2.34,0.59,16.54,0.76,0.0,600012,皖通高速,6.47,6.32,6.45,6.42,10615104000,7459840000,-0.31,0.98,18.52,13.27,20030107
